Phonemes,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,corrects,incorrects,total
G,0.162,0.174,0.176,0.189,0.19,0.191,0.193,0.207,0.207,0.207,0.212,222.0,643.0,865.0
b,0.122,0.127,0.141,0.152,0.157,0.162,0.162,0.164,0.167,0.172,0.177,528.0,395.0,923.0
w,0.151,0.15,0.151,0.15,0.156,0.158,0.159,0.158,0.16,0.163,0.163,743.0,500.0,1243.0
B,0.206,0.202,0.203,0.21,0.213,0.216,0.217,0.222,0.225,0.229,0.231,428.0,1169.0,1597.0
D,0.182,0.183,0.19,0.202,0.212,0.218,0.222,0.224,0.231,0.23,0.233,920.0,2009.0,2929.0
m,0.154,0.141,0.146,0.145,0.145,0.151,0.152,0.153,0.154,0.154,0.153,3234.0,686.0,3920.0
i,0.254,0.252,0.25,0.253,0.255,0.26,0.263,0.263,0.267,0.268,0.268,4929.0,1238.0,6167.0
s,0.325,0.283,0.29,0.295,0.298,0.298,0.303,0.304,0.3,0.3,0.302,7555.0,480.0,8035.0
