Phonemes,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,corrects,incorrects,total
G,0.162,0.162,0.167,0.162,0.166,0.166,0.167,0.168,0.174,0.174,0.176,222.0,643.0,865.0
b,0.122,0.124,0.127,0.127,0.13,0.134,0.136,0.139,0.142,0.145,0.148,528.0,395.0,923.0
w,0.151,0.151,0.152,0.155,0.154,0.155,0.156,0.154,0.154,0.153,0.151,743.0,500.0,1243.0
B,0.206,0.203,0.201,0.2,0.199,0.194,0.195,0.198,0.198,0.199,0.199,428.0,1169.0,1597.0
D,0.182,0.18,0.182,0.183,0.183,0.184,0.186,0.191,0.191,0.193,0.195,920.0,2009.0,2929.0
m,0.154,0.153,0.152,0.147,0.146,0.147,0.148,0.149,0.149,0.15,0.15,3234.0,686.0,3920.0
i,0.254,0.254,0.252,0.25,0.25,0.251,0.252,0.251,0.252,0.252,0.25,4929.0,1238.0,6167.0
s,0.325,0.319,0.312,0.309,0.31,0.31,0.304,0.31,0.308,0.306,0.305,7555.0,480.0,8035.0
