Phonemes,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,corrects,incorrects,total
G,0.162,0.162,0.167,0.171,0.176,0.176,0.174,0.18,0.18,0.184,0.184,222.0,643.0,865.0
b,0.122,0.122,0.127,0.129,0.136,0.139,0.144,0.144,0.144,0.147,0.15,528.0,395.0,923.0
w,0.151,0.153,0.152,0.155,0.153,0.153,0.152,0.154,0.152,0.153,0.152,743.0,500.0,1243.0
B,0.206,0.206,0.201,0.198,0.2,0.2,0.2,0.203,0.205,0.206,0.208,428.0,1169.0,1597.0
D,0.182,0.181,0.182,0.181,0.184,0.186,0.191,0.196,0.199,0.2,0.203,920.0,2009.0,2929.0
m,0.154,0.154,0.149,0.147,0.143,0.143,0.142,0.143,0.144,0.144,0.144,3234.0,686.0,3920.0
i,0.254,0.252,0.251,0.249,0.251,0.253,0.252,0.253,0.253,0.254,0.253,4929.0,1238.0,6167.0
s,0.325,0.319,0.306,0.302,0.3,0.301,0.302,0.3,0.297,0.293,0.295,7555.0,480.0,8035.0
