Phonemes,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1.0,min,corrects,incorrects,total
G,0.162,0.162,0.167,0.171,0.18,0.185,0.185,0.185,0.18,0.185,0.188,0.162,222.0,643.0,865.0
b,0.122,0.122,0.124,0.129,0.13,0.134,0.14,0.14,0.142,0.146,0.149,0.122,528.0,395.0,923.0
w,0.151,0.152,0.153,0.155,0.155,0.155,0.154,0.154,0.154,0.152,0.155,0.151,743.0,500.0,1243.0
B,0.206,0.203,0.203,0.199,0.201,0.199,0.201,0.201,0.201,0.201,0.201,0.199,428.0,1169.0,1597.0
D,0.182,0.179,0.182,0.183,0.187,0.19,0.193,0.198,0.2,0.203,0.203,0.179,920.0,2009.0,2929.0
m,0.154,0.154,0.151,0.147,0.147,0.146,0.146,0.146,0.145,0.146,0.147,0.145,3234.0,686.0,3920.0
i,0.254,0.252,0.252,0.251,0.251,0.251,0.249,0.248,0.248,0.249,0.251,0.248,4929.0,1238.0,6167.0
s,0.325,0.317,0.305,0.303,0.303,0.299,0.298,0.295,0.296,0.294,0.294,0.294,7555.0,480.0,8035.0
